BIBTEXKEY,first_name,middle_name,last_name,full_name,JOURNAL,NUMBER,PAGES,PUBLISHER,TITLE,VOLUME,YEAR,DOI,ISSN,AUTHOR_KEYWORDS,PUBLICATION_STAGE,AFFILIATIONS,Affiliation_country,Affiliation_country_code,Gender,Gender.Probability,Gender.Count,author_id,paper_id_author_id,author_order,Max,author_last,author_single,unique_name,OA,Citations
Baileyshea2006289,Matthew,NA,Baileyshea,Matthew Baileyshea,Music Analysis,3,289 – 314,NA,The heaviest weight': Circularity and repetition in a song by Hugo Wolf,25,2006,10.1111/j.1468-2249.2006.00244.x,2625245,NA,Final,NA,NA,NA,male,0.99,183,author1,Baileyshea2006289_author1,1,1,0,1,baileyshea_matthew,Open Access,4
Butterfield2002327,Matthew,NA,Butterfield,Matthew Butterfield,Music Analysis,3,327 – 380,Blackwell Publishing Ltd,The musical object revisited,21,2002,10.1111/1468-2249.00170,2625245,NA,Final,NA,NA,NA,male,0.99,183,author1,Butterfield2002327_author1,1,1,0,1,butterfield_matthew,Undefined,16
Schenker200533,Heinrich,NA,Schenker,Heinrich Schenker,Music Analysis,1-2,33 – 129,Blackwell Publishing Ltd,The decline of the art of composition: A technical-critical study,24,2005,10.1111/j.1468-2249.2005.00217.x,2625245,NA,Final,NA,NA,NA,male,1,218,author1,Schenker200533_author1,1,1,0,1,schenker_heinrich,Undefined,6
Bauer2008337,Amy,NA,Bauer,Amy Bauer,Music Analysis,2-3,337 – 372,NA,The other of the exotic: Balinese music as grammatical paradigm in Ligeti's 'Galamb borong',27,2008,10.1111/j.1468-2249.2009.00277.x,2625245,NA,Final,"University of California, Irvine, United States",United States,US,female,1,346962,author1,Bauer2008337_author1,1,1,0,1,bauer_amy,Undefined,5
Krims2001347,Adam,NA,Krims,Adam Krims,Music Analysis,3,347 – 363,NA,"Marxism, urban geography and classical recording: An aternative to cultural studies",20,2001,10.1111/1468-2249.00143,2625245,NA,Final,"University of Alberta, Canada",Canada,CA,male,1,30374,author1,Krims2001347_author1,1,1,0,1,krims_adam,Undefined,14
Heile200457,Björn,NA,Heile,Björn Heile,Music Analysis,1,57 – 85,Blackwell Publishing Ltd,Transcending quotation': Cross-cultural musical representation in Mauricio Kagel's die stücke der windrose für salonorchester,23,2004,10.1111/j.0262-5245.2004.00195.x,2625245,NA,Final,NA,NA,NA,male,1,3,author1,Heile200457_author1,1,1,0,1,heile_björn,Undefined,9
Petty2003105,Wayne,C.,Petty,Wayne C. Petty,Music Analysis,1-2,105 – 137,Blackwell Publishing Ltd,"Brahms, Adolf Jensen and the problem of the multi-movement work",22,2003,10.1111/j.0262-5245.2003.00177.x,2625245,NA,Final,NA,NA,NA,male,0.96,129,author1,Petty2003105_author1,1,1,0,1,petty_wayne,Open Access,6
Murphy2007323,Scott,NA,Murphy,Scott Murphy,Music Analysis,3,323 – 353,NA,On Metre in the rondo of Brahms's Op. 25,26,2007,10.1111/j.1468-2249.2008.00261.x,2625245,NA,Final,NA,NA,NA,male,0.95,22,author1,Murphy2007323_author1,1,1,0,1,murphy_scott,Open Access,15
Morrison2001327,Charles,D.,Morrison,Charles D. Morrison,Music Analysis,3,327 – 345,NA,Formal structure and functional qualities in the first movement of Bartók's violin sonata no. 1 (1921),20,2001,10.1111/1468-2249.00142,2625245,NA,Final,"University of Waterloo, ON, Canada",Canada,CA,male,1,17892,author1,Morrison2001327_author1,1,1,0,1,morrison_charles,Undefined,1
Forte20023,Allen,NA,Forte,Allen Forte,Music Analysis,1,3 – 34,NA,Olivier Messiaen as serialist,21,2002,10.1111/1468-2249.00148,2625245,NA,Final,"University of Yale, United States",United States,US,male,1,73392,author1,Forte20023_author1,1,1,0,1,forte_allen,Open Access,11
Willson2003315,Rachel,Beckles,Willson,Rachel Beckles Willson,Music Analysis,3,315 – 338,Blackwell Publishing Ltd,"To Say and/or To Be? Incongruence in Kurtág's The Sayings of Péter Bornemisza, Op. 7",22,2003,10.1111/j.0262-5245.2003.00188.x,2625245,NA,Final,NA,NA,NA,female,0.99,621,author1,Willson2003315_author1,1,1,0,1,willson_rachel,Undefined,2
McDonald2007217,Matthew,NA,McDonald,Matthew McDonald,Music Analysis,1-2,217 – 245,NA,De-composition? Schenker (and his corpus) today,26,2007,10.1111/j.1468-2249.2007.00254.x,2625245,NA,Final,NA,NA,NA,male,0.99,183,author1,McDonald2007217_author1,1,1,0,1,mcdonald_matthew,Open Access,0
Harrison2002115,Daniel,NA,Harrison,Daniel Harrison,Music Analysis,2,115 – 160,NA,Nonconformist notions of nineteenth-century enharmonicism,21,2002,10.1111/1468-2249.00154,2625245,NA,Final,"University of Rochester, New York, United States",United States,US,male,1,514673,author1,Harrison2002115_author1,1,1,0,1,harrison_daniel,Undefined,32
Harper-Scott2005349,Julius,Peter Edward,Harper-Scott,J. P. E. Harper-Scott,Music Analysis,3,349 – 382,NA,"A nice sub-acid feeling': Schenker, Heidegger and Elgar's first symphony",24,2005,10.1111/j.1468-2249.2006.00225.x,2625245,NA,Final,NA,NA,NA,male,0.88,34,author1,Harper-Scott2005349_author1,1,1,0,1,harper-scott_j.,Undefined,6
Cohn2001295,Richard,NA,Cohn,Richard Cohn,Music Analysis,3,295 – 326,NA,"Complex hemiolas, ski-hill graphs and metric spaces",20,2001,10.1111/1468-2249.00141,2625245,NA,Final,"University of Chicago, United States",United States,US,male,1,472162,author1,Cohn2001295_author1,1,1,0,1,cohn_richard,Undefined,61
Klumpenhouwer2001367,Henry,NA,Klumpenhouwer,Henry Klumpenhouwer,Music Analysis,3,367 – 405,NA,"Late capitalism, late Marxism and the study of music",20,2001,10.1111/1468-2249.00144,2625245,NA,Final,"University of Alberta, Canada",Canada,CA,male,1,9369,author1,Klumpenhouwer2001367_author1,1,1,0,1,klumpenhouwer_henry,Undefined,13
Riley20041,Matthew,NA,Riley,Matthew Riley,Music Analysis,1,1 – 26,Blackwell Publishing Ltd,The 'harmonic major' mode in nineteenth-century theory and practice,23,2004,10.1111/j.0262-5245.2004.00193.x,2625245,NA,Final,NA,NA,NA,male,0.99,183,author1,Riley20041_author1,1,1,0,1,riley_matthew,Undefined,7
Russ2004195,Michael,NA,Russ,Michael Russ,Music Analysis,2-3,195 – 244,Blackwell Publishing Ltd,Fishing in the right place': Analytical examples from the Tonalities Project,23,2004,10.1111/j.0262-5245.2004.00202.x,2625245,NA,Final,NA,NA,NA,male,0.98,1387,author1,Russ2004195_author1,1,1,0,1,russ_michael,Undefined,5
Morgan20037,Robert,P.,Morgan,Robert P. Morgan,Music Analysis,1-2,7 – 50,Blackwell Publishing Ltd,The concept of unity and musical analysis,22,2003,10.1111/j.0262-5245.2003.00175.x,2625245,NA,Final,NA,NA,NA,male,0.98,484,author1,Morgan20037_author1,1,1,0,1,morgan_robert,Undefined,43
Smith2001193,Peter,H.,Smith,Peter H. Smith,Music Analysis,2,193 – 236,NA,Brahms and subject/answer rhetoric,20,2001,10.1111/1468-2249.00136,2625245,NA,Final,"University of Notre Dame, United States",United States,US,male,1,252618,author1,Smith2001193_author1,1,1,0,1,smith_peter,Undefined,12
Anson-Cartwright2007267,Mark,NA,Anson-Cartwright,Mark Anson-Cartwright,Music Analysis,3,267 – 288,NA,Elision and the embellished final cadence in J. S. Bach's Preludes,26,2007,10.1111/j.1468-2249.2008.00259.x,2625245,NA,Final,NA,NA,NA,male,0.99,196,author1,Anson-Cartwright2007267_author1,1,1,0,1,anson-cartwright_mark,Open Access,3
Hasegawa2009349+371,Robert,NA,Hasegawa,Robert Hasegawa,Music Analysis,2-3,349+371,Blackwell Publishing Ltd,Gérard Grisey and the 'nature' of harmony,28,2009,10.1111/j.1468-2249.2011.00294.x,2625245,NA,Final,"University of Rochester, United States",United States,US,male,1,780374,author1,Hasegawa2009349+371_author1,1,1,0,1,hasegawa_robert,Undefined,10
Hooper2004311,Giles,NA,Hooper,Giles Hooper,Music Analysis,2-3,311 – 329,Blackwell Publishing Ltd,"An incomplete project: Modernism, formalism and the 'music itself'",23,2004,10.1111/j.0262-5245.2004.00206.x,2625245,NA,Final,NA,NA,NA,male,1,1,author1,Hooper2004311_author1,1,1,0,1,hooper_giles,Undefined,6
Wingfield2008137,Paul,NA,Wingfield,Paul Wingfield,Music Analysis,1,137 – 177,NA,Beyond 'norms and deformations': Towards a theory of Sonata form as reception history,27,2008,10.1111/j.1468-2249.2008.00283.x,2625245,NA,Final,NA,NA,NA,male,0.98,549,author1,Wingfield2008137_author1,1,1,0,1,wingfield_paul,Open Access,41
Chua2000409,Daniel,K. L.,Chua,Daniel K. L. Chua,Music Analysis,3,409 – 421,NA,Believing in Beethoven,19,2000,10.1111/1468-2249.00126,2625245,NA,Final,"King's College London, United Kingdom",United Kingdom,GB,male,1,150020,author1,Chua2000409_author1,1,1,0,1,chua_daniel,Undefined,6
Delaere200235,Mark,NA,Delaere,Mark Delaere,Music Analysis,1,35 – 51,NA,Olivier Messiaen's analysis seminar and the development of post-war serial music,21,2002,10.1111/1468-2249.00149,2625245,NA,Final,"Catholic University of Leuven, Belgium",Belgium,BE,male,0.99,5365,author1,Delaere200235_author1,1,1,0,1,delaere_mark,Undefined,7
